symbol,current_price,total_score,trend1_pass,trend1_current,trend1_threshold,trend1_description,trend2_pass,trend2_current,trend2_threshold,trend2_description,snapback_pass,snapback_current,snapback_threshold,snapback_description,momentum_pass,momentum_current,momentum_threshold,momentum_description,stabilizing_pass,stabilizing_current,stabilizing_threshold,stabilizing_description,data_age_hours
NOC,484.77,2,True,484.77,478.9879,Price ($484.77) is above the 20-day EMA ($478.99),False,484.77,485.5013,Price ($484.77) is below the 100-day EMA ($485.50),True,45.15,50.0,RSI (45.1) is below the threshold (50),False,484.77,484.77,Current price ($484.77) is below last week's close ($484.77),False,9.0233,7.297417,3-day ATR (9.02) is higher than 6-day ATR (7.30),0
EQT,55.13,2,True,55.13,54.7254,Price ($55.13) is above the 20-day EMA ($54.73),True,55.13,51.2304,Price ($55.13) is above the 100-day EMA ($51.23),False,85.13,50.0,RSI (85.1) is above the threshold (50),False,55.13,55.13,Current price ($55.13) is below last week's close ($55.13),False,1.3126,1.2013,3-day ATR (1.31) is higher than 6-day ATR (1.20),0
RF,21.44,1,False,21.44,21.4698,Price ($21.44) is below the 20-day EMA ($21.47),False,21.44,22.154,Price ($21.44) is below the 100-day EMA ($22.15),False,59.37,50.0,RSI (59.4) is above the threshold (50),False,21.44,21.44,Current price ($21.44) is below last week's close ($21.44),True,0.33,0.395,3-day ATR (0.33) is lower than 6-day ATR (0.40),0
DGX,173.34,3,False,173.34,173.5264,Price ($173.34) is below the 20-day EMA ($173.53),True,173.34,168.5852,Price ($173.34) is above the 100-day EMA ($168.59),True,38.21,50.0,RSI (38.2) is below the threshold (50),False,173.34,173.34,Current price ($173.34) is below last week's close ($173.34),True,2.241667,2.411667,3-day ATR (2.24) is lower than 6-day ATR (2.41),0
ABBV,186.11,2,True,186.11,185.2433,Price ($186.11) is above the 20-day EMA ($185.24),False,186.11,187.568,Price ($186.11) is below the 100-day EMA ($187.57),True,36.87,50.0,RSI (36.9) is below the threshold (50),False,186.11,186.11,Current price ($186.11) is below last week's close ($186.11),False,3.823933,3.3178,3-day ATR (3.82) is higher than 6-day ATR (3.32),0
KO,72.1,3,True,72.1,71.4478,Price ($72.10) is above the 20-day EMA ($71.45),True,72.1,69.26,Price ($72.10) is above the 100-day EMA ($69.26),True,34.58,50.0,RSI (34.6) is below the threshold (50),False,72.1,72.1,Current price ($72.10) is below last week's close ($72.10),False,1.01,1.001667,3-day ATR (1.01) is higher than 6-day ATR (1.00),0
IBM,259.06,3,True,259.06,256.8856,Price ($259.06) is above the 20-day EMA ($256.89),True,259.06,244.5258,Price ($259.06) is above the 100-day EMA ($244.53),False,77.95,50.0,RSI (77.9) is above the threshold (50),False,259.06,259.06,Current price ($259.06) is below last week's close ($259.06),True,4.146667,4.172933,3-day ATR (4.15) is lower than 6-day ATR (4.17),0
T,27.8,3,True,27.8,27.4416,Price ($27.80) is above the 20-day EMA ($27.44),True,27.8,26.2605,Price ($27.80) is above the 100-day EMA ($26.26),False,61.81,50.0,RSI (61.8) is above the threshold (50),False,27.8,27.8,Current price ($27.80) is below last week's close ($27.80),True,0.331633,0.362483,3-day ATR (0.33) is lower than 6-day ATR (0.36),0
XYL,126.04,4,True,126.04,124.184,Price ($126.04) is above the 20-day EMA ($124.18),True,126.04,121.466,Price ($126.04) is above the 100-day EMA ($121.47),True,46.42,50.0,RSI (46.4) is below the threshold (50),False,126.04,126.04,Current price ($126.04) is below last week's close ($126.04),True,1.683333,1.7025,3-day ATR (1.68) is lower than 6-day ATR (1.70),0
CDNS,287.07,0,False,287.07,303.0595,Price ($287.07) is below the 20-day EMA ($303.06),False,287.07,287.2663,Price ($287.07) is below the 100-day EMA ($287.27),False,64.38,50.0,RSI (64.4) is above the threshold (50),False,287.07,287.07,Current price ($287.07) is below last week's close ($287.07),False,21.493333,13.7625,3-day ATR (21.49) is higher than 6-day ATR (13.76),0
SNPS,463.98,0,False,463.98,483.3996,Price ($463.98) is below the 20-day EMA ($483.40),False,463.98,477.3174,Price ($463.98) is below the 100-day EMA ($477.32),False,54.26,50.0,RSI (54.3) is above the threshold (50),False,463.98,463.98,Current price ($463.98) is below last week's close ($463.98),False,46.189967,29.004133,3-day ATR (46.19) is higher than 6-day ATR (29.00),0
CMG,50.08,0,False,50.08,50.6644,Price ($50.08) is below the 20-day EMA ($50.66),False,50.08,52.5734,Price ($50.08) is below the 100-day EMA ($52.57),False,59.76,50.0,RSI (59.8) is above the threshold (50),False,50.08,50.08,Current price ($50.08) is below last week's close ($50.08),False,1.1,0.922567,3-day ATR (1.10) is higher than 6-day ATR (0.92),0
USB,43.59,2,True,43.59,42.9826,Price ($43.59) is above the 20-day EMA ($42.98),False,43.59,43.8239,Price ($43.59) is below the 100-day EMA ($43.82),False,60.43,50.0,RSI (60.4) is above the threshold (50),False,43.59,43.59,Current price ($43.59) is below last week's close ($43.59),True,0.630933,0.739983,3-day ATR (0.63) is lower than 6-day ATR (0.74),0
TKO,157.81,3,False,157.81,159.5393,Price ($157.81) is below the 20-day EMA ($159.54),True,157.81,152.2489,Price ($157.81) is above the 100-day EMA ($152.25),True,39.5,50.0,RSI (39.5) is below the threshold (50),False,157.81,157.81,Current price ($157.81) is below last week's close ($157.81),True,2.936333,3.315667,3-day ATR (2.94) is lower than 6-day ATR (3.32),0
KHC,26.73,2,False,26.73,27.4871,Price ($26.73) is below the 20-day EMA ($27.49),False,26.73,29.2168,Price ($26.73) is below the 100-day EMA ($29.22),True,31.22,50.0,RSI (31.2) is below the threshold (50),False,26.73,26.73,Current price ($26.73) is below last week's close ($26.73),True,0.475,0.488317,3-day ATR (0.48) is lower than 6-day ATR (0.49),0
AMCR,9.11,2,False,9.11,9.1959,Price ($9.11) is below the 20-day EMA ($9.20),False,9.11,9.5467,Price ($9.11) is below the 100-day EMA ($9.55),True,45.16,50.0,RSI (45.2) is below the threshold (50),False,9.11,9.11,Current price ($9.11) is below last week's close ($9.11),True,0.1632,0.189933,3-day ATR (0.16) is lower than 6-day ATR (0.19),0
CSCO,63.04,2,True,63.04,61.9667,Price ($63.04) is above the 20-day EMA ($61.97),True,63.04,60.2401,Price ($63.04) is above the 100-day EMA ($60.24),False,79.64,50.0,RSI (79.6) is above the threshold (50),False,63.04,63.04,Current price ($63.04) is below last week's close ($63.04),False,0.955,0.890833,3-day ATR (0.96) is higher than 6-day ATR (0.89),0
NOW,1011.09,4,True,1011.09,994.2627,Price ($1011.09) is above the 20-day EMA ($994.26),True,1011.09,950.7223,Price ($1011.09) is above the 100-day EMA ($950.72),True,48.88,50.0,RSI (48.9) is below the threshold (50),False,1011.09,1011.09,Current price ($1011.09) is below last week's close ($1011.09),True,18.929133,19.853633,3-day ATR (18.93) is lower than 6-day ATR (19.85),0
MTB,182.64,3,True,182.64,180.2587,Price ($182.64) is above the 20-day EMA ($180.26),True,182.64,182.6376,Price ($182.64) is above the 100-day EMA ($182.64),False,57.73,50.0,RSI (57.7) is above the threshold (50),False,182.64,182.64,Current price ($182.64) is below last week's close ($182.64),True,2.576667,3.16275,3-day ATR (2.58) is lower than 6-day ATR (3.16),0
CB,297.2,2,True,297.2,289.8973,Price ($297.20) is above the 20-day EMA ($289.90),True,297.2,285.4392,Price ($297.20) is above the 100-day EMA ($285.44),False,82.97,50.0,RSI (83.0) is above the threshold (50),False,297.2,297.2,Current price ($297.20) is below last week's close ($297.20),False,5.122567,4.633767,3-day ATR (5.12) is higher than 6-day ATR (4.63),0
WM,240.97,3,True,240.97,233.6513,Price ($240.97) is above the 20-day EMA ($233.65),True,240.97,227.4212,Price ($240.97) is above the 100-day EMA ($227.42),False,58.39,50.0,RSI (58.4) is above the threshold (50),False,240.97,240.97,Current price ($240.97) is below last week's close ($240.97),True,2.8153,2.930983,3-day ATR (2.82) is lower than 6-day ATR (2.93),0
UPS,97.54,2,False,97.54,97.7581,Price ($97.54) is below the 20-day EMA ($97.76),False,97.54,108.1207,Price ($97.54) is below the 100-day EMA ($108.12),True,48.32,50.0,RSI (48.3) is below the threshold (50),False,97.54,97.54,Current price ($97.54) is below last week's close ($97.54),True,1.526633,1.783317,3-day ATR (1.53) is lower than 6-day ATR (1.78),0
TSCO,48.4,0,False,48.4,50.4831,Price ($48.40) is below the 20-day EMA ($50.48),False,48.4,52.5784,Price ($48.40) is below the 100-day EMA ($52.58),False,57.58,50.0,RSI (57.6) is above the threshold (50),False,48.4,48.4,Current price ($48.40) is below last week's close ($48.40),False,1.245,1.155833,3-day ATR (1.24) is higher than 6-day ATR (1.16),0
JNJ,155.21,2,True,155.21,153.376,Price ($155.21) is above the 20-day EMA ($153.38),True,155.21,154.779,Price ($155.21) is above the 100-day EMA ($154.78),False,59.11,50.0,RSI (59.1) is above the threshold (50),False,155.21,155.21,Current price ($155.21) is below last week's close ($155.21),False,2.226667,2.0025,3-day ATR (2.23) is higher than 6-day ATR (2.00),0
BSX,105.26,2,True,105.26,104.0195,Price ($105.26) is above the 20-day EMA ($104.02),True,105.26,99.7208,Price ($105.26) is above the 100-day EMA ($99.72),False,64.18,50.0,RSI (64.2) is above the threshold (50),False,105.26,105.26,Current price ($105.26) is below last week's close ($105.26),False,1.692667,1.66005,3-day ATR (1.69) is higher than 6-day ATR (1.66),0
NRG,155.9,3,True,155.9,144.8358,Price ($155.90) is above the 20-day EMA ($144.84),True,155.9,114.4148,Price ($155.90) is above the 100-day EMA ($114.41),False,77.01,50.0,RSI (77.0) is above the threshold (50),False,155.9,155.9,Current price ($155.90) is below last week's close ($155.90),True,3.438833,3.843083,3-day ATR (3.44) is lower than 6-day ATR (3.84),0
RJF,146.98,2,True,146.98,146.6679,Price ($146.98) is above the 20-day EMA ($146.67),False,146.98,147.6528,Price ($146.98) is below the 100-day EMA ($147.65),False,67.77,50.0,RSI (67.8) is above the threshold (50),False,146.98,146.98,Current price ($146.98) is below last week's close ($146.98),True,2.42,2.807433,3-day ATR (2.42) is lower than 6-day ATR (2.81),0
PPG,110.8,3,True,110.8,110.4936,Price ($110.80) is above the 20-day EMA ($110.49),False,110.8,111.6425,Price ($110.80) is below the 100-day EMA ($111.64),True,41.15,50.0,RSI (41.2) is below the threshold (50),False,110.8,110.8,Current price ($110.80) is below last week's close ($110.80),True,1.77,1.899967,3-day ATR (1.77) is lower than 6-day ATR (1.90),0
EIX,55.65,0,False,55.65,56.4963,Price ($55.65) is below the 20-day EMA ($56.50),False,55.65,59.9456,Price ($55.65) is below the 100-day EMA ($59.95),False,66.88,50.0,RSI (66.9) is above the threshold (50),False,55.65,55.65,Current price ($55.65) is below last week's close ($55.65),False,1.4605,1.433583,3-day ATR (1.46) is higher than 6-day ATR (1.43),0
SW,43.33,1,False,43.33,43.8999,Price ($43.33) is below the 20-day EMA ($43.90),False,43.33,46.1404,Price ($43.33) is below the 100-day EMA ($46.14),True,28.28,50.0,RSI (28.3) is below the threshold (50),False,43.33,43.33,Current price ($43.33) is below last week's close ($43.33),False,1.073333,1.016667,3-day ATR (1.07) is higher than 6-day ATR (1.02),0
TJX,126.9,2,False,126.9,128.8232,Price ($126.90) is below the 20-day EMA ($128.82),True,126.9,125.1026,Price ($126.90) is above the 100-day EMA ($125.10),False,56.2,50.0,RSI (56.2) is above the threshold (50),False,126.9,126.9,Current price ($126.90) is below last week's close ($126.90),True,1.72,2.432667,3-day ATR (1.72) is lower than 6-day ATR (2.43),0
LMT,482.38,2,True,482.38,471.0707,Price ($482.38) is above the 20-day EMA ($471.07),True,482.38,471.9954,Price ($482.38) is above the 100-day EMA ($472.00),False,59.13,50.0,RSI (59.1) is above the threshold (50),False,482.38,482.38,Current price ($482.38) is below last week's close ($482.38),False,10.178333,8.228333,3-day ATR (10.18) is higher than 6-day ATR (8.23),0
CHTR,396.27,1,False,396.27,401.2701,Price ($396.27) is below the 20-day EMA ($401.27),True,396.27,377.0788,Price ($396.27) is above the 100-day EMA ($377.08),False,88.93,50.0,RSI (88.9) is above the threshold (50),False,396.27,396.27,Current price ($396.27) is below last week's close ($396.27),False,10.658333,9.1375,3-day ATR (10.66) is higher than 6-day ATR (9.14),0
MO,60.61,2,True,60.61,59.1791,Price ($60.61) is above the 20-day EMA ($59.18),True,60.61,57.2182,Price ($60.61) is above the 100-day EMA ($57.22),False,73.33,50.0,RSI (73.3) is above the threshold (50),False,60.61,60.61,Current price ($60.61) is below last week's close ($60.61),False,0.731667,0.705633,3-day ATR (0.73) is higher than 6-day ATR (0.71),0
SO,90.0,2,True,90.0,89.3719,Price ($90.00) is above the 20-day EMA ($89.37),True,90.0,88.6056,Price ($90.00) is above the 100-day EMA ($88.61),False,55.2,50.0,RSI (55.2) is above the threshold (50),False,90.0,90.0,Current price ($90.00) is below last week's close ($90.00),False,1.813333,1.5075,3-day ATR (1.81) is higher than 6-day ATR (1.51),0
WMB,60.51,3,True,60.51,59.0484,Price ($60.51) is above the 20-day EMA ($59.05),True,60.51,57.816,Price ($60.51) is above the 100-day EMA ($57.82),False,50.77,50.0,RSI (50.8) is above the threshold (50),False,60.51,60.51,Current price ($60.51) is below last week's close ($60.51),True,0.953333,1.105,3-day ATR (0.95) is lower than 6-day ATR (1.11),0
LIN,467.58,3,True,467.58,457.9713,Price ($467.58) is above the 20-day EMA ($457.97),True,467.58,452.5182,Price ($467.58) is above the 100-day EMA ($452.52),False,52.52,50.0,RSI (52.5) is above the threshold (50),False,467.58,467.58,Current price ($467.58) is below last week's close ($467.58),True,6.049233,6.627117,3-day ATR (6.05) is lower than 6-day ATR (6.63),0
K,82.63,3,True,82.63,82.3911,Price ($82.63) is above the 20-day EMA ($82.39),True,82.63,82.139,Price ($82.63) is above the 100-day EMA ($82.14),True,41.82,50.0,RSI (41.8) is below the threshold (50),False,82.63,82.63,Current price ($82.63) is below last week's close ($82.63),False,0.3,0.29,3-day ATR (0.30) is higher than 6-day ATR (0.29),0
WRB,74.69,3,True,74.69,72.7315,Price ($74.69) is above the 20-day EMA ($72.73),True,74.69,67.164,Price ($74.69) is above the 100-day EMA ($67.16),False,80.76,50.0,RSI (80.8) is above the threshold (50),False,74.69,74.69,Current price ($74.69) is below last week's close ($74.69),True,1.28,1.315967,3-day ATR (1.28) is lower than 6-day ATR (1.32),0
DD,66.8,1,False,66.8,67.7177,Price ($66.80) is below the 20-day EMA ($67.72),False,66.8,71.5766,Price ($66.80) is below the 100-day EMA ($71.58),True,38.7,50.0,RSI (38.7) is below the threshold (50),False,66.8,66.8,Current price ($66.80) is below last week's close ($66.80),False,1.81,1.596667,3-day ATR (1.81) is higher than 6-day ATR (1.60),0
HBAN,15.63,3,True,15.63,15.4441,Price ($15.63) is above the 20-day EMA ($15.44),True,15.63,15.4805,Price ($15.63) is above the 100-day EMA ($15.48),False,65.33,50.0,RSI (65.3) is above the threshold (50),False,15.63,15.63,Current price ($15.63) is below last week's close ($15.63),True,0.216667,0.298333,3-day ATR (0.22) is lower than 6-day ATR (0.30),0
MKC,72.73,2,False,72.73,73.6415,Price ($72.73) is below the 20-day EMA ($73.64),False,72.73,76.3597,Price ($72.73) is below the 100-day EMA ($76.36),True,47.12,50.0,RSI (47.1) is below the threshold (50),False,72.73,72.73,Current price ($72.73) is below last week's close ($72.73),True,1.165,1.259067,3-day ATR (1.17) is lower than 6-day ATR (1.26),0
SCHW,88.34,3,True,88.34,86.1593,Price ($88.34) is above the 20-day EMA ($86.16),True,88.34,80.9705,Price ($88.34) is above the 100-day EMA ($80.97),False,64.5,50.0,RSI (64.5) is above the threshold (50),False,88.34,88.34,Current price ($88.34) is below last week's close ($88.34),True,1.186633,1.259717,3-day ATR (1.19) is lower than 6-day ATR (1.26),0
TXN,182.85,3,True,182.85,178.978,Price ($182.85) is above the 20-day EMA ($178.98),True,182.85,178.9298,Price ($182.85) is above the 100-day EMA ($178.93),False,57.75,50.0,RSI (57.8) is above the threshold (50),False,182.85,182.85,Current price ($182.85) is below last week's close ($182.85),True,3.918333,5.3625,3-day ATR (3.92) is lower than 6-day ATR (5.36),0
TMO,402.82,2,False,402.82,411.0769,Price ($402.82) is below the 20-day EMA ($411.08),False,402.82,469.2183,Price ($402.82) is below the 100-day EMA ($469.22),True,21.47,50.0,RSI (21.5) is below the threshold (50),False,402.82,402.82,Current price ($402.82) is below last week's close ($402.82),True,6.615,8.614167,3-day ATR (6.62) is lower than 6-day ATR (8.61),0
AON,372.08,3,True,372.08,361.7059,Price ($372.08) is above the 20-day EMA ($361.71),True,372.08,371.7136,Price ($372.08) is above the 100-day EMA ($371.71),False,82.16,50.0,RSI (82.2) is above the threshold (50),False,372.08,372.08,Current price ($372.08) is below last week's close ($372.08),True,6.825267,6.8543,3-day ATR (6.83) is lower than 6-day ATR (6.85),0
CVS,64.04,2,True,64.04,63.3323,Price ($64.04) is above the 20-day EMA ($63.33),True,64.04,62.5079,Price ($64.04) is above the 100-day EMA ($62.51),False,50.77,50.0,RSI (50.8) is above the threshold (50),False,64.04,64.04,Current price ($64.04) is below last week's close ($64.04),False,1.906667,1.729167,3-day ATR (1.91) is higher than 6-day ATR (1.73),0
ABT,133.58,3,True,133.58,132.3436,Price ($133.58) is above the 20-day EMA ($132.34),True,133.58,128.3551,Price ($133.58) is above the 100-day EMA ($128.36),False,67.23,50.0,RSI (67.2) is above the threshold (50),False,133.58,133.58,Current price ($133.58) is below last week's close ($133.58),True,1.95,2.001667,3-day ATR (1.95) is lower than 6-day ATR (2.00),0
CNC,56.44,1,False,56.44,59.0545,Price ($56.44) is below the 20-day EMA ($59.05),False,56.44,59.9822,Price ($56.44) is below the 100-day EMA ($59.98),False,72.56,50.0,RSI (72.6) is above the threshold (50),False,56.44,56.44,Current price ($56.44) is below last week's close ($56.44),True,1.316667,1.834167,3-day ATR (1.32) is lower than 6-day ATR (1.83),0
ATO,154.68,2,False,154.68,156.5142,Price ($154.68) is below the 20-day EMA ($156.51),True,154.68,152.0887,Price ($154.68) is above the 100-day EMA ($152.09),True,40.29,50.0,RSI (40.3) is below the threshold (50),False,154.68,154.68,Current price ($154.68) is below last week's close ($154.68),False,2.396667,2.388333,3-day ATR (2.40) is higher than 6-day ATR (2.39),0
DRI,214.21,4,True,214.21,207.0467,Price ($214.21) is above the 20-day EMA ($207.05),True,214.21,196.419,Price ($214.21) is above the 100-day EMA ($196.42),True,28.46,50.0,RSI (28.5) is below the threshold (50),False,214.21,214.21,Current price ($214.21) is below last week's close ($214.21),True,2.8609,3.959617,3-day ATR (2.86) is lower than 6-day ATR (3.96),0
CNP,37.24,1,False,37.24,37.4125,Price ($37.24) is below the 20-day EMA ($37.41),True,37.24,35.5361,Price ($37.24) is above the 100-day EMA ($35.54),False,56.15,50.0,RSI (56.1) is above the threshold (50),False,37.24,37.24,Current price ($37.24) is below last week's close ($37.24),False,0.621667,0.616333,3-day ATR (0.62) is higher than 6-day ATR (0.62),0
DLTR,90.26,3,True,90.26,86.9509,Price ($90.26) is above the 20-day EMA ($86.95),True,90.26,77.4066,Price ($90.26) is above the 100-day EMA ($77.41),False,71.16,50.0,RSI (71.2) is above the threshold (50),False,90.26,90.26,Current price ($90.26) is below last week's close ($90.26),True,1.930567,2.206117,3-day ATR (1.93) is lower than 6-day ATR (2.21),0
WY,25.91,2,False,25.91,25.9729,Price ($25.91) is below the 20-day EMA ($25.97),False,25.91,27.712,Price ($25.91) is below the 100-day EMA ($27.71),True,46.98,50.0,RSI (47.0) is below the threshold (50),False,25.91,25.91,Current price ($25.91) is below last week's close ($25.91),True,0.383333,0.431667,3-day ATR (0.38) is lower than 6-day ATR (0.43),0
VZ,43.96,3,True,43.96,43.496,Price ($43.96) is above the 20-day EMA ($43.50),True,43.96,42.8367,Price ($43.96) is above the 100-day EMA ($42.84),False,71.58,50.0,RSI (71.6) is above the threshold (50),False,43.96,43.96,Current price ($43.96) is below last week's close ($43.96),True,0.55,0.583333,3-day ATR (0.55) is lower than 6-day ATR (0.58),0
RTX,136.48,2,True,136.48,132.5915,Price ($136.48) is above the 20-day EMA ($132.59),True,136.48,127.7887,Price ($136.48) is above the 100-day EMA ($127.79),False,55.75,50.0,RSI (55.8) is above the threshold (50),False,136.48,136.48,Current price ($136.48) is below last week's close ($136.48),False,3.406667,2.865,3-day ATR (3.41) is higher than 6-day ATR (2.86),0
MRK,76.84,1,False,76.84,77.8971,Price ($76.84) is below the 20-day EMA ($77.90),False,76.84,85.7734,Price ($76.84) is below the 100-day EMA ($85.77),True,27.25,50.0,RSI (27.2) is below the threshold (50),False,76.84,76.84,Current price ($76.84) is below last week's close ($76.84),False,1.805,1.510833,3-day ATR (1.80) is higher than 6-day ATR (1.51),0
CI,316.64,0,False,316.64,318.9629,Price ($316.64) is below the 20-day EMA ($318.96),False,316.64,317.2829,Price ($316.64) is below the 100-day EMA ($317.28),False,54.61,50.0,RSI (54.6) is above the threshold (50),False,316.64,316.64,Current price ($316.64) is below last week's close ($316.64),False,6.141667,6.114167,3-day ATR (6.14) is higher than 6-day ATR (6.11),0
CTRA,24.31,1,False,24.31,24.6459,Price ($24.31) is below the 20-day EMA ($24.65),False,24.31,25.8756,Price ($24.31) is below the 100-day EMA ($25.88),True,28.85,50.0,RSI (28.8) is below the threshold (50),False,24.31,24.31,Current price ($24.31) is below last week's close ($24.31),False,0.523333,0.521667,3-day ATR (0.52) is higher than 6-day ATR (0.52),0
NI,39.54,2,True,39.54,39.0744,Price ($39.54) is above the 20-day EMA ($39.07),True,39.54,38.6477,Price ($39.54) is above the 100-day EMA ($38.65),False,88.19,50.0,RSI (88.2) is above the threshold (50),False,39.54,39.54,Current price ($39.54) is below last week's close ($39.54),False,0.685,0.65625,3-day ATR (0.69) is higher than 6-day ATR (0.66),0
PEP,131.45,2,False,131.45,132.2573,Price ($131.45) is below the 20-day EMA ($132.26),False,131.45,142.9071,Price ($131.45) is below the 100-day EMA ($142.91),True,40.62,50.0,RSI (40.6) is below the threshold (50),False,131.45,131.45,Current price ($131.45) is below last week's close ($131.45),True,1.656633,1.924583,3-day ATR (1.66) is lower than 6-day ATR (1.92),0
PGR,284.93,2,True,284.93,279.8952,Price ($284.93) is above the 20-day EMA ($279.90),True,284.93,271.0813,Price ($284.93) is above the 100-day EMA ($271.08),False,60.38,50.0,RSI (60.4) is above the threshold (50),False,284.93,284.93,Current price ($284.93) is below last week's close ($284.93),False,5.273233,5.029217,3-day ATR (5.27) is higher than 6-day ATR (5.03),0
EXE,116.13,3,True,116.13,113.0136,Price ($116.13) is above the 20-day EMA ($113.01),True,116.13,106.3082,Price ($116.13) is above the 100-day EMA ($106.31),False,85.23,50.0,RSI (85.2) is above the threshold (50),False,116.13,116.13,Current price ($116.13) is below last week's close ($116.13),True,1.833333,1.979167,3-day ATR (1.83) is lower than 6-day ATR (1.98),0
EQR,70.14,3,True,70.14,69.589,Price ($70.14) is above the 20-day EMA ($69.59),True,70.14,70.114,Price ($70.14) is above the 100-day EMA ($70.11),False,53.32,50.0,RSI (53.3) is above the threshold (50),False,70.14,70.14,Current price ($70.14) is below last week's close ($70.14),True,1.163333,1.2975,3-day ATR (1.16) is lower than 6-day ATR (1.30),0
KEYS,157.04,1,False,157.04,157.3184,Price ($157.04) is below the 20-day EMA ($157.32),True,157.04,155.3201,Price ($157.04) is above the 100-day EMA ($155.32),False,89.98,50.0,RSI (90.0) is above the threshold (50),False,157.04,157.04,Current price ($157.04) is below last week's close ($157.04),False,3.7158,3.45455,3-day ATR (3.72) is higher than 6-day ATR (3.45),0
FE,41.94,1,False,41.94,42.0347,Price ($41.94) is below the 20-day EMA ($42.03),True,41.94,41.0881,Price ($41.94) is above the 100-day EMA ($41.09),False,52.51,50.0,RSI (52.5) is above the threshold (50),False,41.94,41.94,Current price ($41.94) is below last week's close ($41.94),False,0.8394,0.717967,3-day ATR (0.84) is higher than 6-day ATR (0.72),0
ADM,48.27,1,False,48.27,48.5116,Price ($48.27) is below the 20-day EMA ($48.51),False,48.27,48.488,Price ($48.27) is below the 100-day EMA ($48.49),False,53.25,50.0,RSI (53.2) is above the threshold (50),False,48.27,48.27,Current price ($48.27) is below last week's close ($48.27),True,0.68,0.766667,3-day ATR (0.68) is lower than 6-day ATR (0.77),0
DUK,117.72,2,True,117.72,117.1424,Price ($117.72) is above the 20-day EMA ($117.14),True,117.72,116.5319,Price ($117.72) is above the 100-day EMA ($116.53),False,56.07,50.0,RSI (56.1) is above the threshold (50),False,117.72,117.72,Current price ($117.72) is below last week's close ($117.72),False,2.553333,2.097217,3-day ATR (2.55) is higher than 6-day ATR (2.10),0
FTNT,101.78,1,False,101.78,102.8481,Price ($101.78) is below the 20-day EMA ($102.85),True,101.78,100.3697,Price ($101.78) is above the 100-day EMA ($100.37),False,59.45,50.0,RSI (59.5) is above the threshold (50),False,101.78,101.78,Current price ($101.78) is below last week's close ($101.78),False,2.636667,2.45,3-day ATR (2.64) is higher than 6-day ATR (2.45),0
MMM,148.35,3,True,148.35,147.1562,Price ($148.35) is above the 20-day EMA ($147.16),True,148.35,142.7789,Price ($148.35) is above the 100-day EMA ($142.78),False,50.87,50.0,RSI (50.9) is above the threshold (50),False,148.35,148.35,Current price ($148.35) is below last week's close ($148.35),True,2.006667,2.504167,3-day ATR (2.01) is lower than 6-day ATR (2.50),0
RSG,257.29,4,True,257.29,250.1029,Price ($257.29) is above the 20-day EMA ($250.10),True,257.29,236.2425,Price ($257.29) is above the 100-day EMA ($236.24),True,43.8,50.0,RSI (43.8) is below the threshold (50),False,257.29,257.29,Current price ($257.29) is below last week's close ($257.29),True,2.88,3.523333,3-day ATR (2.88) is lower than 6-day ATR (3.52),0
SPGI,512.86,3,True,512.86,509.4055,Price ($512.86) is above the 20-day EMA ($509.41),True,512.86,502.5595,Price ($512.86) is above the 100-day EMA ($502.56),False,52.66,50.0,RSI (52.7) is above the threshold (50),False,512.86,512.86,Current price ($512.86) is below last week's close ($512.86),True,6.01,6.585833,3-day ATR (6.01) is lower than 6-day ATR (6.59),0
AWK,142.97,3,True,142.97,142.8428,Price ($142.97) is above the 20-day EMA ($142.84),True,142.97,139.5763,Price ($142.97) is above the 100-day EMA ($139.58),True,39.09,50.0,RSI (39.1) is below the threshold (50),False,142.97,142.97,Current price ($142.97) is below last week's close ($142.97),False,2.621667,2.435733,3-day ATR (2.62) is higher than 6-day ATR (2.44),0
NEE,70.64,4,True,70.64,69.5938,Price ($70.64) is above the 20-day EMA ($69.59),True,70.64,70.0952,Price ($70.64) is above the 100-day EMA ($70.10),True,49.9,50.0,RSI (49.9) is below the threshold (50),False,70.64,70.64,Current price ($70.64) is below last week's close ($70.64),True,1.946667,2.730233,3-day ATR (1.95) is lower than 6-day ATR (2.73),0
HON,226.67,3,True,226.67,219.7631,Price ($226.67) is above the 20-day EMA ($219.76),True,226.67,214.7122,Price ($226.67) is above the 100-day EMA ($214.71),False,62.88,50.0,RSI (62.9) is above the threshold (50),False,226.67,226.67,Current price ($226.67) is below last week's close ($226.67),True,3.210867,3.5021,3-day ATR (3.21) is lower than 6-day ATR (3.50),0
PFE,23.49,1,True,23.49,23.1889,Price ($23.49) is above the 20-day EMA ($23.19),False,23.49,24.3203,Price ($23.49) is below the 100-day EMA ($24.32),False,87.29,50.0,RSI (87.3) is above the threshold (50),False,23.49,23.49,Current price ($23.49) is below last week's close ($23.49),False,0.425,0.4125,3-day ATR (0.43) is higher than 6-day ATR (0.41),0
CME,289.0,3,True,289.0,279.4445,Price ($289.00) is above the 20-day EMA ($279.44),True,289.0,260.7847,Price ($289.00) is above the 100-day EMA ($260.78),False,80.68,50.0,RSI (80.7) is above the threshold (50),False,289.0,289.0,Current price ($289.00) is below last week's close ($289.00),True,3.48,3.85175,3-day ATR (3.48) is lower than 6-day ATR (3.85),0
